Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Indonesia,IDN,Migrasi bersih,SM.POP.NETM,50818,51816,53132,55084,72412,-61146,-77641,-80155,55732,82958,81364,79266,72010,64990,61188,56388,48001,45610,45920,43900,42246,44710,46789,47375,43693,37447,30990,26709,25379,19910,11542,3096,-2608,-3474,-2576,-1651,-1856,-4332,-11356,-28804,-42697,-64261,-83985,-97733,-102669,-102380,-101108,-103121,-108492,-98211,-77010,-54051,-38499,-36670,-37324,-37991,-38653,-39282,-39878,-40567,-24999,-14992,-49997
Indonesia,IDN,"Pengangguran, total (% dari angkatan kerja total)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,2.73,2.78,4.37,4.597,4.86,4.68,5.46,6.36,6.08,6.08,6.6,6.66,7.3,7.94,7.55,8.06,7.21,6.11,5.61,5.15,4.47,4.34,4.05,4.51,4.3,3.78,4.39,3.59,4.25,3.83,3.554
Indonesia,IDN,Rasio jumlah masyarakat miskin pada garis kemiskinan nasional (% dari populasi),SI.POV.NAHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,,23.4,19.1,18.4,18.2,17.4,16.7,16,17.8,16.6,15.4,14.1,13.3,12.5,12,11.4,11.3,11.2,10.9,10.6,9.8,9.4,9.8,10.1,9.5
Indonesia,IDN,Indeks GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,33.5,,,31.4,,,32.3,,,33.2,,,35.6,,32.2,32.1,29.5,30,32.8,33,33.9,34.1,35.3,36.7,36.1,36,37.2,40.5,40.5,40.8,40.2,40.4,39.3,38.8,38.4,37.6,37.6,37.9,37.9
Indonesia,IDN,"Rasio jumlah masyarakat miskin pada $1,90 per hari (PPP) (% dari populasi)",SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,74.2,,,74.3,,,62.8,,,62.1,,,51.3,,69.1,46,43.6,39.9,26.8,26.4,27,24.6,30.6,25.2,24.7,21,18.3,15.7,13.7,11.2,9.3,8.3,7.5,6.6,5.4,4.4,3.8,3.5,2.5
Indonesia,IDN,Distribusi inkam yang dipegang oleh 20% terendah,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,8.9,,,8.8,,,8.7,,,8.1,,8.7,8.9,9.4,9.4,8.8,8.6,8.2,8.2,7.9,7.6,7.7,7.8,7.4,6.9,7,7,7,6.9,6.8,6.7,6.8,7.1,7.1,7,7.3
Indonesia,IDN,"Prevalensi malnutrisi, bobot untuk usia (% dari anak balita)",SH.STA.MALN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,31,,,29.8,,,,30.3,,25.8,22.8,24.8,23.4,23,23.1,19.7,24.4,,19.6,,,18.6,,,19.9,,,,,17.7,,,,
Indonesia,IDN,Persalinan ditolong oleh petugas kesehatan terampil (% dari total),SH.STA.BRTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,,,40.7,35.1,40.7,,39.8,49.7,,49.1,56,,66.9,,68.4,66.2,71.5,,,73,74.86,,82.2,,83.1,87.4,,,92.6,90.9,93.6,94.7,,,
Indonesia,IDN,"Imunisasi, campak (% dari anak usia 12-23 bulan)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,6,13,26,45,48,51,54,58,61,65,68,66,63,79,77,77,77,76,76,72,74,76,77,79,76,76,74,78,80,82,87,86,87,88,90,89,88,76,72,
Indonesia,IDN,"Angka kematian, balita (per 1.000 kelahiran hidup)",SH.DYN.MORT,223.9,217.7,211.8,206,200.3,229,188.7,183,177.2,171.6,166,160.6,155.4,150.4,145.6,141,136.6,132.5,128.5,124.6,120.8,117.1,113.4,109.8,106.1,102.5,98.8,95.2,91.5,87.7,84,80.2,76.6,73,69.5,66.3,63.1,60.2,57.4,54.7,52.2,49.9,47.6,45.5,49.6,41.7,39.9,38.3,36.7,35.3,33.9,32.5,31.2,30,28.8,27.7,26.6,25.6,24.6,23.8,22.9,22.2,
