tahun,usia_dibawah_15,usia_produktif,usia_diatas_60,total,persentase_usia_dibawah_15,persentase_usia_produktif,persentase_usia_diatas_60
2018,70486,169774,24754,265014,0.2659708543699578,0.6406227595523255,0.09340638607771665
2019,70635,171536,25901,268072,0.2634926437673461,0.6398877913396401,0.09661956489301382
2020,66362,176999,26841,270202,0.24560143892347208,0.655061768602749,0.09933679247377887
2021,66186,178297,28198,272681,0.2427231820332183,0.6538666060341571,0.10341021193262456
2022,66196,179916,29660,275772,0.2400388726919339,0.6524085113789653,0.10755261592910086
